smiles,split
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,test
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,test
C#CC[NH2+][C@@H]1CCc2ccccc21,test
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,test
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,test
C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1,test
C1=C/C(=C2\N=c3cnc4c(c3=N2)COCC4)NO1,test
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,test
Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,test
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,test
Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,test
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,test
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,test
Clc1ccc2nsnc2c1NC1=[NH+]CCN1,test
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,test
Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1,test
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,test
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2,test
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,test
N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,test
N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],test
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[NH+](CCc2ccc3c(c2)CCO3)C1,test
NC(=O)N1c2ccccc2C=Cc2ccccc21,test
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,test
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,test
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,test
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,test
NC(N)=[NH+]CC1COC2(CCCCC2)O1,test
NC(N)=[NH+]CCCC(NC(=O)[C@H]([NH3+])CCC[NH+]=C(N)N)C(=O)N1CCCC1C(=O)N1C[C@H](O)CC1C(=O)NCC(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)[O-])C[C@@H]2CCCC[C@@H]21,test
NC(N)=[NH+]CCN1CCCCCCC1,test
NC1=[NH+]C(=O)C(c2ccccc2)O1,test
NC1=[NH+]CC2c3ccccc3Cc3ccccc3N12,test
NNc1nncc2ccccc12,test
NS(=O)(=O)Cc1noc2ccccc12,test
NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,test
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,test
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,test
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,test
NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,test
Nc1c2c([nH+]c3ccccc13)CCCC2,test
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],test
Nc1ccc(/N=N/c2ccccc2)c(N)n1,test
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,test
Nc1ccc(S(=O)(=O)[N-]c2ccccn2)cc1,test
Nc1ccc(S(=O)(=O)[N-]c2ccnn2-c2ccccc2)cc1,test
Nc1nc(/C(=C/CC(=O)[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=CCS[C@H]23)cs1,test
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)cnc2[nH]1,test
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,test
Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,test
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,test
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,test
