smiles,split
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,test
C1=Cc2cccc3cccc1c23,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,test
CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,test
CC(=O)Nc1nnc(S(N)(=O)=O)s1,test
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,test
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,test
CC(C)CNC(=O)N1CCNC1=O,test
CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,test
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,test
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,test
CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,test
CC1=C(C(=O)Nc2ccccc2)CCCO1,test
CC1=C(C(=O)Nc2ccccc2)SCCO1,test
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,test
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,test
CC1CCCCC1NC(=O)Nc1ccccc1,test
CC1CO1,test
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,test
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,test
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,test
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,test
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,test
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,test
CCC1(c2ccccc2)C(=O)NCNC1=O,test
CCC1(c2ccccc2)CCC(=O)NC1=O,test
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,test
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,test
CCN1c2ccccc2C(=O)N(C)c2ccccc21,test
CCN1c2ccccc2N(C)C(=S)c2cccnc21,test
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,test
CCOC(=O)c1cncn1C(C)c1ccccc1,test
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,test
CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,test
CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,test
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,test
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,test
CNC(=O)Oc1ccccc1C1OCCO1,test
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],test
COc1c2occc2cc2ccc(=O)oc12,test
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,test
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,test
CSc1nnc(C(C)(C)C)c(=O)n1N,test
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,test
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,test
Cc1cc(=O)[nH]c(=S)[nH]1,test
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,test
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,test
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,test
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,test
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,test
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,test
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,test
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,test
Cc1occc1C(=O)Nc1ccccc1,test
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,test
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,test
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,test
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,test
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,test
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,test
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,test
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,test
NC(=O)c1cnccn1,test
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],test
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,test
Nc1nccs1,test
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,test
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,test
O=C(Nc1ccccc1)Nc1ccccc1,test
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,test
O=C(c1ccccc1)C(O)c1ccccc1,test
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,test
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,test
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,test
O=C1CCCN1,test
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,test
O=C1CSC(=S)N1,test
O=C1NC(=O)C2(CC2)C(=O)N1,test
O=C1NC(=O)C2(CCC2)C(=O)N1,test
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,test
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,test
O=Cc1ccc2c(c1)OCO2,test
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,test
O=c1[nH]cnc2nc[nH]c12,test
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,test
O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,test
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,test
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,test
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,test
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,test
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,test
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,test
c1cc2c3c(cccc3c1)CC2,test
c1cc2ccc3cccc4ccc(c1)c2c34,test
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,test
