smiles,split
BrC1CN2CC(Br)CN2C1,test
Brc1ccc(-c2ccc3nnnn3n2)s1,test
Brc1ccc(C[N+]23CN4CN(CN(C4)C2)C3)cc1,test
Brc1ccc(N2N=NC3CN(c4ccccc4)CC32)cc1,test
Brc1ccc(N2N=NC3CNCC32)cc1,test
Brc1ccc2[nH]cc(C=NN3CCCCCC3)c2c1,test
Brc1ccc2c(ccc3nc4nnnn4nc32)c1,test
Brc1ccc2nc(-c3ccccc3)c3ccccc3c2c1,test
Brc1cccc[n+]1Cc1cccc(C[n+]2ccccc2Br)c1,test
Brc1cccc[n+]1Cc1ccccc1C[n+]1ccccc1Br,test
Brc1ccccc1-c1nnc(-c2cccc3ccccc23)o1,test
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,test
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,test
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,test
C#CCN1CCC2=C(C1)c1c(O)cc(C(C)C(C)CCCCC)cc1OC2(C)C,test
C#CCN1CCN(C(=S)NN=C(C)c2ccccn2)CC1,test
C(#CCN1CCCC1)CCCN1CCCC1,test
C(#CCN1CCCCCC1)CN1CCCCCC1,test
C(#CC[PH](c1ccccc1)(c1ccccc1)c1ccccc1)C[PH](c1ccccc1)(c1ccccc1)c1ccccc1,test
C(=C(C[PH](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,test
C(=C(Sc1ccccc1)Sc1ccccc1)C(Sc1ccccc1)c1ccccc1,test
C(=C(c1ccccc1)c1ccccc1)N1CCOCC1,test
C(=CCSc1ccccc1)CSc1ccccc1,test
C(=Cc1c[nH]c2ccccc12)c1ccc2ccccc2n1,test
C(=Cc1c[nH]c2ccccc12)c1nccc2ccccc12,test
C(=Cc1ccc2ccccc2n1)c1ccc2c(c1)OCO2,test
C(=Cc1ccc2ccccc2n1)c1cccnc1,test
C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1,test
C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1,test
C(=Cc1ccccc1)C=Nc1ccc(CCc2ccc(N=CC=Cc3ccccc3)cc2)cc1,test
C(=Cc1ccccc1)C[PH](c1ccccc1)(c1ccccc1)c1ccccc1,test
C(=Cc1ccnc2ccccc12)c1ccc(N=CNc2ccc(C=Cc3ccnc4ccccc34)cc2)cc1,test
C(=Cc1ccnc2ccccc12)c1ccc2c(c1)OCO2,test
C(=Cc1ccnc2ccccc12)c1cccnc1,test
C(=Cc1ccnc2ccccc12)c1cccs1,test
C(=Cc1cnc2ccccc2n1)c1ccc2c(c1)OCO2,test
C(=Cc1nc2ccccc2o1)c1ccc2c(c1)OCO2,test
C(=Cc1nc2ccccc2s1)c1ccc2c(c1)OCO2,test
C(=NN=C(NN=CC1CNCCN1)NN=CC1CNCCN1)C1CNCCN1,test
C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,test
C(=NNC1=NCCN1)c1ccc(-c2cn3cc(C=NNC4=NCCN4)ccc3n2)cc1,test
C(=Nc1ccc(C2=NCCN2)cc1)c1ccc(C=Nc2ccc(C3=NCCN3)cc2)cc1,test
C(=Nc1ccc(SSc2ccc(N=C=C(c3ccccc3)c3ccccc3)cc2)cc1)=C(c1ccccc1)c1ccccc1,test
C(=Nc1cccnc1)c1ccc2ccccc2n1,test
C(=Nc1cnc2ccccc2c1)c1ccc2ccccc2n1,test
C(=Nc1cnc2ccccc2c1)c1ccccn1,test
C(=Nc1cnc2ccccc2c1)c1cccnc1,test
C(=Nc1cnc2ccccc2c1)c1ccnc2ccccc12,test
C(=Nc1cnc2ccccc2c1)c1ccncc1,test
C(COC1CC2CC1C1CC3OC3C21)OCCOC1CC2CC1C1CC3OC3C21,test
C(C[PH](c1ccccc1)(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1,test
C1=C(C2CCCC3C4CC(CN23)C2CCCCN2C4)CCC2C3CC(CN12)C1CCCCN1C3,test
C1=C(N2CCOCC2)N(c2ccccc2)c2ccccc2N=C1N1CCCC1,test
C1=C(c2ccccc2)N2CCCNC2(c2ccccc2)CS1,test
C1=C(c2ccccc2)Nc2ccccc2N=C1c1ccccc1,test
C1=C(c2ccccc2)SC(N2CCCCC2)S1,test
C1=CC2(C=C1)OC21CCC2(C=CC3(C2)OC3C2CCCCC2)CC1,test
C1=CC2=[S+][Zn-2]3([O]N2C=C1)[O]N1C=CC=CC1=[S+]3,test
C1=CC2CCC1C1CN(CCCN3CCOCC3)CC21,test
C1=CC=CC2OC2C=C1,test
C1=Cc2ccccc2C1=Cc1cc2c3c(c1)CCCN3CCC2,test
C1=Cc2ccccc2C1=Cc1ccc2c(c1)OCO2,test
C1=NCCN=Cc2ccccc2NCCNc2ccccc21,test
C1=NCCNc2nc3ccccc3cc2C=NCCNc2nc3ccccc3cc21,test
C1=Nc2ccccc2N=Cc2ccccc2NCCNc2ccccc21,test
C1=[N+]2CCC[N]3CCC[N+]4=Cc5ccccc5[O][Co-3]324[O]c2ccccc21,test
C1=[N+]2CC[N+]3=Cc4ccccc4[O][Co-3]23([n+]2ccccc2)[O]c2ccccc21,test
C1C2CC3C1C1CN3C21,test
C1C2CC3C1C1C[S+]3CC21,test
C1C2CC3CC1OP(O2)O3,test
C1C2OC2C2C1C1CC2C2OC12,test
